,scores,paramters
487,0.527355752817,"[50, 10, 300, 100, 300]"
488,0.637717651075,"[50, 10, 300, 100, 300]"
489,0.565081939228,"[50, 10, 300, 100, 300]"
490,0.608612154319,"[50, 10, 300, 100, 300]"
491,0.643052236258,"[50, 10, 300, 100, 300]"
492,0.581811198361,"[50, 10, 300, 100, 300]"
493,0.58526800956,"[50, 10, 300, 100, 300]"
494,0.641686582451,"[50, 10, 300, 100, 300]"
495,0.532861044725,"[50, 10, 300, 100, 100]"
496,0.616763400478,"[50, 10, 300, 100, 100]"
497,0.631529532264,"[50, 10, 300, 100, 100]"
498,0.553815295323,"[50, 10, 300, 100, 100]"
499,0.658458518266,"[50, 10, 300, 100, 100]"
500,0.657647661318,"[50, 10, 300, 100, 100]"
501,0.562435984978,"[50, 10, 300, 100, 100]"
502,0.597473540457,"[50, 10, 300, 100, 100]"
503,0.624274496415,"[50, 10, 300, 100, 100]"
504,0.701647319904,"[50, 10, 300, 100, 32]"
505,0.553815295323,"[50, 10, 300, 100, 32]"
506,0.609038921133,"[50, 10, 300, 100, 32]"
507,0.564228405599,"[50, 10, 300, 100, 32]"
508,0.621927278935,"[50, 10, 300, 100, 32]"
509,0.60775862069,"[50, 10, 300, 100, 32]"
510,0.577287470126,"[50, 10, 300, 100, 32]"
511,0.58001877774,"[50, 10, 300, 100, 32]"
512,0.600674291567,"[50, 10, 300, 100, 32]"
513,0.61040457494,"[50, 10, 300, 32, 300]"
514,0.627773984295,"[50, 10, 300, 32, 300]"
515,0.686241037897,"[50, 10, 300, 32, 300]"
516,0.580061454421,"[50, 10, 300, 32, 300]"
